Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
5,32,Bandido,"5,734,402","Myke Towers, Juhn",6150675,['trap latino']
25,39,Paradise (feat. Dermot Kennedy),"5,693,848",MEDUZA,441674,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']"
13,83,goosebumps,"5,691,540",Travis Scott,17719446,"['rap', 'slap house']"
90,18,Wasted Love (feat. Lagique),"5,690,260",Ofenbach,432581,"['edm', 'new french touch', 'pop dance', 'tropical house']"
100,2,KESI - Remix,"5,682,062","Camilo, Shawn Mendes",10561047,"['colombian pop', 'reggaeton colombiano']"
59,83,Shallow,"5,672,480","Lady Gaga, Bradley Cooper",18572085,"['dance pop', 'pop', 'post-teen pop']"
110,9,Tell Em,"5,668,576","Cochise, $NOT",159647,"['plugg', 'vapor trap', 'viral rap']"
103,5,"Não, Não Vou","5,652,272",Mari Fernandez,15889,[]
147,24,Counting Stars,"5,647,568",OneRepublic,12169108,"['dance pop', 'piano rock', 'pop', 'pop rock']"
121,32,Yellow,"5,628,703",Coldplay,31151294,"['permanent wave', 'pop']"
153,1,Como Si No Importara,"5,627,257","Emilia, Duki",205590,[]
154,1,Se For Amor,"5,618,268","João Gomes, Vitor Fernandes",409173,[]
142,23,Wake Me Up,"5,607,285",Avicii,20270895,"['dance pop', 'edm', 'pop', 'pop dance']"
128,7,Baby Me Atende,"5,594,505","Matheus Fernandes, Dilsinho",77034,"['forro', 'sertanejo pop']"
68,6,Ramenez la coupe à la maison,"5,576,844",Vegedream,1250353,[]
6,47,What You Know Bout Love,"5,570,735",Pop Smoke,6837946,['brooklyn drill']
19,18,Runaway,"5,566,150",AURORA,1687399,"['art pop', 'norwegian pop']"
121,5,Red Light Green Light,"5,493,760",DaBaby,7593046,"['north carolina hip hop', 'rap']"
120,5,Ball If I Want To,"5,478,055",DaBaby,7593046,"['north carolina hip hop', 'rap']"
31,83,Lucid Dreams,"5,477,563",Juice WRLD,19085118,"['chicago rap', 'melodic rap']"
4,24,Calling My Phone,"5,467,753","Lil Tjay, 6LACK",3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']"
5,39,34+35,"5,453,159",Ariana Grande, , 
13,83,bad guy,"5,436,286",Billie Eilish,1250353,[]
59,18,Cover Me In Sunshine,"5,434,073","P!nk, Willow Sage Hart",11477164,"['dance pop', 'pop', 'post-teen pop']"
7,56,For The Night (feat. Lil Baby & DaBaby),"5,431,375",Pop Smoke,6837946,['brooklyn drill']
13,10,"1 step forward, 3 steps back","5,420,003",Olivia Rodrigo,6266514,['pop']
1,51,WAP (feat. Megan Thee Stallion),"5,386,268",Cardi B,17353707,"['dance pop', 'pop', 'pop rap', 'rap']"
155,22,Mr. Brightside,"5,382,191",The Killers,6118063,"['dance rock', 'modern rock', 'permanent wave', 'rock']"
144,27,Every Breath You Take,"5,379,704",The Police,4339245,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']"
20,44,Dreams - 2004 Remaster,"5,378,971",Fleetwood Mac,6930669,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
94,82,Say You Won't Let Go,"5,375,426",James Arthur,8441598,"['pop', 'post-teen pop', 'talent show', 'uk pop']"
110,2,Wild Side (feat. Cardi B),"5,366,242",Normani,1304510,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
65,2,Bout A Million (feat. 42 Dugg & 21 Savage),"5,315,734",Pop Smoke,6837946,['brooklyn drill']
72,2,Demeanor (feat. Dua Lipa),"5,245,618",Pop Smoke,6837946,['brooklyn drill']
4,76,death bed (coffee for your head),"5,238,547","Powfu, beabadoobee",924083,['sad rap']
100,9,Our Song,"5,235,335","Anne-Marie, Niall Horan",8148393,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
138,22,Another One Bites The Dust - Remastered 2011,"5,204,983",Queen,35888760,"['classic rock', 'glam rock', 'rock']"
149,14,One Dance,"5,178,490","Drake, WizKid, Kyla",56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
15,83,Adore You,"5,166,847",Harry Styles,16112621,"['pop', 'post-teen pop']"
181,4,As the World Caves In,"5,145,493",Sarah Cothran,180723,[]
